VALUE	ABB	AVL
19484	25	15
22693	35	14
17194	30	14
10605	34	15
17059	30	15
6838	32	15
20556	31	11
15179	31	14
18296	33	14
10782	33	16
24729	33	11
1556	29	14
20042	34	13
20840	35	14
25536	34	15
3279	35	15
6094	37	15
12543	35	15
4306	39	14
8532	38	15
2379	32	14
18590	27	15
6635	36	14
22881	36	15
7516	30	15
13577	36	17
17173	34	15
23017	37	13
20978	36	15
30203	32	15
24681	32	15
27823	33	15
14232	40	16
20575	37	14
32632	30	15
5140	36	12
1531	33	14
8386	37	14
16361	36	14
4397	40	16
22953	35	15
12809	33	14
8035	36	15
4121	35	15
32537	28	12
27743	24	13
15533	31	15
28306	34	13
28396	28	9
28786	26	12
22035	31	14
20673	35	14
24434	30	15
29407	33	14
1804	39	14
30807	29	10
3952	27	16
27626	27	11
2331	31	14
4569	35	15
11808	33	15
28531	33	13
31731	34	15
27707	30	14
1146	29	14
16678	28	13
30942	33	14
20145	37	14
17330	34	16
30961	34	14
30047	35	14
24770	29	14
7426	32	15
19387	32	15
14614	31	15
22686	37	15
1705	40	14
19539	31	12
27365	29	13
25521	32	14
21044	42	16
14502	38	15
31057	30	14
32120	32	14
30716	32	14
10038	33	14
25131	35	13
10388	31	14
15344	31	16
10439	35	14
7535	36	14
15901	30	15
3988	32	16
12891	32	14
12140	38	15
18232	32	15
21834	36	14
25441	34	13
9765	30	14
5356	35	15
26833	31	14
31786	32	13
1528	30	10
2609	26	12
4363	40	16
6300	24	11
27005	30	10
19530	32	14
16131	28	15
810	35	15
22705	34	14
19797	26	14
15918	30	14
13316	34	14
6996	34	14
25889	33	15
14833	36	15
20618	37	13
2703	37	15
27711	29	11
15460	26	13
16135	27	15
9690	37	13
3420	33	16
2646	32	15
8860	36	14
28445	30	14
16590	28	9
145	21	14
21370	45	15
21013	40	15
9836	34	13
22110	29	15
10068	32	13
6906	32	15
12707	36	16
26956	28	14
7701	31	13
16479	30	15
23494	35	13
30254	30	13
18126	27	16
1113	39	16
20646	40	15
25443	36	14
28914	34	13
12515	30	14
18787	25	11
90	31	12
32197	27	14
29569	28	13
2433	34	14
24148	31	14
26130	31	14
7204	34	15
12862	34	15
9836	34	13
18460	28	15
17230	32	13
24611	30	15
4309	40	15
4568	36	15
7030	33	13
18138	29	15
24932	31	13
7001	33	14
29102	29	13
16191	28	13
3406	31	15
17804	29	16
8579	39	15
31673	22	7
28210	23	14
28965	30	10
37	17	13
22219	36	16
9818	32	11
25049	32	13
712	32	15
28646	34	13
6718	35	15
25038	37	14
9289	36	13
2690	29	14
9033	33	13
14672	30	15
19989	33	13
25453	32	13
24544	30	14
20165	38	14
18503	24	14
28770	30	13
17569	27	12
739	30	15
29968	32	14
15837	32	15
21224	44	14
7456	32	16
23388	31	11
24366	25	14
6296	24	14
23658	31	13
17586	30	13
9420	36	12
23832	28	14
25	20	14
29276	32	13
3309	28	14
8091	33	15
23842	29	13
11721	29	15
8787	37	13
19109	27	12
21389	41	13
14383	34	16
15721	37	16
16587	35	15
14377	36	15
23924	36	14
23438	31	13
9914	25	14
1662	32	11
11855	24	15
177	30	15
3706	37	16
28419	34	13
9643	33	13
22302	31	15
26612	33	16
5521	36	14
15692	34	15
407	31	16
